Council,Value,Type
Auckland Council,44603,Site
Auckland Council,45313,Site
Auckland Council,7830,Site
Auckland Council,6811,Site
Auckland Council,6804,Site
Auckland Council,6604,Site
Auckland Council,43829,Site
Auckland Council,8110,Site
Auckland Council,7502,Site
Auckland Council,7904,Site
Auckland Council,8219,Site
Auckland Council,8214,Site
Auckland Council,8205,Site
Auckland Council,7811,Site
Auckland Council,8217,Site
Auckland Council,8215,Site
Auckland Council,43856,Site
Auckland Council,43807,Site
Auckland Council,7506,Site
Auckland Council,8516,Site
Auckland Council,7104,Site
Auckland Council,7206,Site
Auckland Council,43601,Site
Auckland Council,438100,Site
Auckland Council,8568,Site
Auckland Council,45373,Site
Auckland Council,45505,Site
Auckland Council,8249,Site
Auckland Council,45415,Site
Auckland Council,8019,Site
Auckland Council,1043837,Site
Auckland Council,7171,Site
Auckland Council,74401,Site
Auckland Council,74701,Site
Auckland Council,Hoteo,Site
Auckland Council,Kaukapakapa,Site
Auckland Council,Oteha,Site
Auckland Council,Puhinui,Site
Auckland Council,Rangitopuni at Walkers,Site
Auckland Council,Wairoa,Site
Auckland Council,West Hoe,Site
BOPRC,BQ966369,Site
BOPRC,RN123610,Site
BOPRC,FN834668,Site
BOPRC,FL356693,Site
BOPRC,FO620177,Site
BOPRC,RO629568,Site
BOPRC,DP784306,Site
BOPRC,DO406909,Site
BOPRC,QM756918,Site
BOPRC,CO543022,Site
BOPRC,EL174017,Site
BOPRC,MK788545,Site
BOPRC,MK788545,Site
BOPRC,MK283728,Site
BOPRC,FL230406,Site
BOPRC,DO047598,Site
BOPRC,FD445529,Site
BOPRC,OK300616,Site
BOPRC,GN849464,Site
BOPRC,GM781934,Site
BOPRC,GN922883,Site
BOPRC,EK598179,Site
BOPRC,JI148319,Site
BOPRC,JK491452,Site
BOPRC,FC231176,Site
BOPRC,JL350292,Site
BOPRC,IG265664,Site
BOPRC,SO991920,Site
BOPRC,EP623312,Site
BOPRC,JM102399,Site
BOPRC,IK564876,Site
BOPRC,IL818464,Site
BOPRC,GJ662805,Site
BOPRC,LI953392,Site
BOPRC,LK149881,Site
BOPRC,BQ711622,Site
BOPRC,BQ708712,Site
BOPRC,BR809582,Site
BOPRC,BQ723939,Site
BOPRC,BS961133,Site
BOPRC,DO688849,Site
BOPRC,DO712717,Site
BOPRC,NK608503,Site
BOPRC,ML715056,Site
BOPRC,CP466747,Site
BOPRC,DP281304,Site
BOPRC,CO938527,Site
BOPRC,HN674689,Site
BOPRC,EO451883,Site
BOPRC,BQ739463,Site
BOPRC,KL998150,Site
BOPRC,LK082095,Site
BOPRC,IG619428,Site
Environment Canterbury Regional Council,Omarama Stream SH8 ,Site
Environment Canterbury Regional Council,Willowburn Quailburn Road,Site
Environment Canterbury Regional Council,Sutherlands Creek Ben Omar Road,Site
Environment Canterbury Regional Council,Hakataramea River Cattle Creek,Site
Environment Canterbury Regional Council,Maerewhenua River SH83,Site
Environment Canterbury Regional Council,Otiake River Mt Bell Station,Site
Environment Canterbury Regional Council,Penticotico Stream SH83,Site
Environment Canterbury Regional Council,Maryburn SH8 Bridge,Site
Environment Canterbury Regional Council,Otematata River SH83,Site
Environment Canterbury Regional Council,Wairepo Creek Arm Inlet,Site
Environment Canterbury Regional Council,Cattle Creek Morland Settlement Road,Site
Environment Canterbury Regional Council,Deadman Stream Hakataramea Valley Road,Site
Environment Canterbury Regional Council,Ashburton River SH1,Site
Environment Canterbury Regional Council,Ashburton River North Branch Digbys Bridge,Site
Environment Canterbury Regional Council,Ashburton River South Branch Hills Road,Site
Environment Canterbury Regional Council,Ashburton River North Branch North Branch SH72 bridge,Site
Environment Canterbury Regional Council,Rangitata River Mouth,Site
Environment Canterbury Regional Council,Rangitata River Upstream of SH1 bridge,Site
Environment Canterbury Regional Council,Rangitata River SH72,Site
Environment Canterbury Regional Council,Smithfield Creek Te Awa Rd,Site
