Council,Value,Type
Christchurch,Wairarapa Stream ,Site
Christchurch,Waimairi Stream,Site
Christchurch,Avon River at Mona Vale,Site
Christchurch,Avon River at Carlton Mill Corner ,Site
Christchurch,Riccarton Main Drain,Site
Christchurch,Addington Brook,Site
Christchurch,Avon River at Manchester Street ,Site
Christchurch,Dudley Creek,Site
Christchurch,Avon River at Dallington Terrace/Gayhurst Road,Site
Christchurch,Horseshoe Lake Discharge,Site
Christchurch,Avon River at Avondale Road Bridge,Site
Christchurch,Avon River at Pages/Seaview Bridge,Site
Christchurch,Avon River at Bridge Street ,Site
Christchurch,Heathcote River at Templetons Road ,Site
Christchurch,Haytons Stream at Retention Basin ,Site
Christchurch,Curletts Road Stream Upstream of Heathcote River,Site
Christchurch,Curletts Road Stream at Motorway ,Site
Christchurch,Heathcote River at Rose Street ,Site
Christchurch,Cashmere Stream at Sutherlands Road ,Site
Christchurch,Cashmere Stream at Worsleys Road,Site
Christchurch,Heathcote River at Ferniehurst Street,Site
Christchurch,Heathcote River at Bowenvale Avenue,Site
Christchurch,Heathcote River at Opawa Road/Clarendon Terrace ,Site
Christchurch,Heathcote River at MacKenzie Avenue ,Site
Christchurch,Heathcote River at Tunnel Road,Site
Christchurch,Heathcote River at Ferrymead Bridge,Site
Christchurch,Smacks Creek at Gardiners Road,Site
Christchurch,Styx River at Gardiners Road,Site
Christchurch,Styx River at Main North Road,Site
Christchurch,Kaputone Creek at Blakes Road,Site
Christchurch,Kaputone Creek at Belfast Road,Site
Christchurch,Styx River at Marshland Road Bridge ,Site
Christchurch,Styx River at Richards Bridge ,Site
Christchurch,Styx River at Harbour Road Bridge,Site
Christchurch,Nottingham Stream at Candys Road ,Site
Christchurch,Knights Stream at Sabys Road,Site
Christchurch,Halswell River at Akaroa Highway (Tai Tapu Road),Site
Christchurch,Otukaikino River at Groynes Inlet ,Site
Christchurch,Wilsons Stream,Site
Christchurch,Linwood Canal/City Outfall Drain,Site
Christchurch,Otukaikino Creek at Omaka Scout Camp,Site
Christchurch,pH (Lab),Measurement
Christchurch,Dissolved Reactive Phosphorus,Measurement
Christchurch,Total Phosphorus,Measurement
Christchurch,Total Nitrogen,Measurement
Christchurch,Ammoniacal Nitrogen,Measurement
Christchurch,Total Oxidised Nitrogen,Measurement
Christchurch,Turbidity (Lab),Measurement
Christchurch,E. coli,Measurement
Christchurch,WQ Sample,Measurement
