Council,Value,Type
Auckland Council,44603,Site
Auckland Council,45313,Site
Auckland Council,7830,Site
Auckland Council,6811,Site
Auckland Council,6804,Site
Auckland Council,6604,Site
Auckland Council,43829,Site
Auckland Council,8110,Site
Auckland Council,7502,Site
Auckland Council,7904,Site
Auckland Council,8219,Site
Auckland Council,8214,Site
Auckland Council,8205,Site
Auckland Council,7811,Site
Auckland Council,8217,Site
Auckland Council,8215,Site
Auckland Council,43856,Site
Auckland Council,43807,Site
Auckland Council,7506,Site
Auckland Council,8516,Site
Auckland Council,7104,Site
Auckland Council,7206,Site
Auckland Council,43601,Site
Auckland Council,438100,Site
Auckland Council,8568,Site
Auckland Council,45373,Site
Auckland Council,45505,Site
Auckland Council,8249,Site
Auckland Council,45415,Site
Auckland Council,8019,Site
Auckland Council,1043837,Site
Auckland Council,7171,Site
Auckland Council,74401,Site
Auckland Council,74701,Site
Auckland Council,Hoteo,Site
Auckland Council,Kaukapakapa,Site
Auckland Council,Oteha,Site
Auckland Council,Puhinui,Site
Auckland Council,Rangitopuni at Walkers,Site
Auckland Council,Wairoa,Site
Auckland Council,West Hoe,Site
Auckland Council,pH,Measurement
Auckland Council,Total Oxidised Nitrogen,Measurement
Auckland Council,Ammonia,Measurement
Auckland Council,Total Nitrogen,Measurement
Auckland Council,Total Phosphorus,Measurement
Auckland Council,Soluble Phosphorus,Measurement
Auckland Council,e.Coli,Measurement
Auckland Council,Transparency,Measurement
Auckland Council,Turbidity,Measurement
