Council,Value,Type
BOPRC,BQ966369,Site
BOPRC,RN123610,Site
BOPRC,FN834668,Site
BOPRC,FL356693,Site
BOPRC,FO620177,Site
BOPRC,RO629568,Site
BOPRC,DP784306,Site
BOPRC,DO406909,Site
BOPRC,QM756918,Site
BOPRC,CO543022,Site
BOPRC,EL174017,Site
BOPRC,MK788545,Site
BOPRC,MK788545,Site
BOPRC,MK283728,Site
BOPRC,FL230406,Site
BOPRC,DO047598,Site
BOPRC,FD445529,Site
BOPRC,OK300616,Site
BOPRC,GN849464,Site
BOPRC,GM781934,Site
BOPRC,GN922883,Site
BOPRC,EK598179,Site
BOPRC,JI148319,Site
BOPRC,JK491452,Site
BOPRC,FC231176,Site
BOPRC,JL350292,Site
BOPRC,IG265664,Site
BOPRC,SO991920,Site
BOPRC,EP623312,Site
BOPRC,JM102399,Site
BOPRC,IK564876,Site
BOPRC,IL818464,Site
BOPRC,GJ662805,Site
BOPRC,LI953392,Site
BOPRC,LK149881,Site
BOPRC,BQ711622,Site
BOPRC,BQ708712,Site
BOPRC,BR809582,Site
BOPRC,BQ723939,Site
BOPRC,BS961133,Site
BOPRC,DO688849,Site
BOPRC,DO712717,Site
BOPRC,NK608503,Site
BOPRC,ML715056,Site
BOPRC,CP466747,Site
BOPRC,DP281304,Site
BOPRC,CO938527,Site
BOPRC,HN674689,Site
BOPRC,EO451883,Site
BOPRC,BQ739463,Site
BOPRC,KL998150,Site
BOPRC,LK082095,Site
BOPRC,IG619428,Site
BOPRC,Ammoniacal N_Field Visits,Measurement
BOPRC,DRP_Field Visits,Measurement
BOPRC,E coli QT_Field Visits,Measurement
BOPRC,E coli_Field Visits,Measurement
BOPRC,Enterococci_Field Visits,Measurement
BOPRC,N (Tot)_Field Visits,Measurement
BOPRC,Nitrate (N)_Field Visits,Measurement
BOPRC,Nitrite (as N)_Field Visits,Measurement
BOPRC,Nitrite Nitrate (as N)_Field Visits,Measurement
BOPRC,P (Tot)_Field Visits,Measurement
BOPRC,Turbidity_Field Visits,Measurement
BOPRC,pH (Field)_Field Visits,Measurement
BOPRC,pH_Field Visits,Measurement
