Council,Value,Type
ES,Aparima River at Dunrobin,Site
ES,Aparima River at Thornbury,Site
ES,Bog Burn d/s Hundred Line Road,Site
ES,Carran Creek at Waituna Lagoon Road,Site
ES,Cascade Stream at Pourakino Valley Road,Site
ES,Cromel Stream at Selbie Road,Site
ES,Dipton Stream at South Hillend-Dipton Rd,Site
ES,Dunsdale Stream at Dunsdale Reserve,Site
ES,Hamilton Burn at Affleck Road,Site
ES,Hedgehope Stream 20m u/s Makarewa Confl,Site
ES,Irthing Stream at Ellis Road,Site
ES,Lill Burn at Lill Burn-Monowai Road,Site
ES,Longridge Stream at Sandstone,Site
ES,Makarewa River at Lora Gorge Road,Site
ES,Makarewa River at Wallacetown,Site
ES,Mararoa River at South Mavora Lake,Site
ES,Mararoa River at The Key,Site
ES,Mararoa River at Weir Road,Site
ES,Mataura River 200m d/s Mataura Bridge,Site
ES,Mataura River at Gore,Site
ES,Mataura River at Mataura Island Bridge,Site
ES,Mataura River at Parawa,Site
ES,Mimihau Stream at Wyndham,Site
ES,Mimihau Stream Tributary at Venlaw Forest,Site
ES,Moffat Creek at Moffat Road,Site
ES,Mokoreta River at Wyndham River Road,Site
ES,Mokotua Stream at Awarua,Site
ES,North Peak Stream at Waimea Valley Road,Site
ES,Opouriki Stream at Tweedie Road,Site
ES,Orauea River at Orawia Pukemaori Road,Site
ES,Oreti River at Lumsden Bridge,Site
ES,Oreti River at Three Kings,Site
ES,Oreti River at Wallacetown,Site
ES,Otamita Stream at Mandeville,Site
ES,Otapiri Stream at Otapiri Gorge,Site
ES,Otautau Stream at Otautau-Tuatapere Road,Site
ES,Otautau Stream at Waikouro,Site
ES,Otepuni Creek at Nith Street,Site
ES,Oteramika Stream at Seaward Downs,Site
ES,Pourakino River at Traill Road,Site
ES,Sandstone Stream at Kingston Crossing Rd,Site
ES,Tokanui River at Fortrose Otara Road,Site
ES,Tussock Creek at Cooper Road,Site
ES,Upukerora River at Te Anau Milford Road,Site
ES,Waiau River at Sunnyside,Site
ES,Waiau River at Tuatapere,Site
ES,Waihopai River u/s Queens Drive,Site
ES,Waikaia River at Waikaia,Site
ES,Waikaia River at Waipounamu Bridge Road,Site
ES,Waikaia River u/s Piano Flat,Site
ES,Waikaka Stream at Gore,Site
ES,Waikawa River at Progress Valley,Site
ES,Waikiwi Stream at North Road,Site
ES,Waikopikopiko Stream at Haldane CurioBay,Site
ES,Waimatuku Stream at Lorneville Riverton Hwy,Site
ES,Waimea Stream at Mandeville,Site
ES,Wairaki River ds Blackmount Road,Site
ES,Waituna Creek at Marshall Road,Site
ES,Whitestone River d/s Manapouri-Hillside,Site
ES,Winton Stream at Lochiel,Site
ES,Nitrogen (Nitrate Nitrite),Measurement
ES,E-Coli <CFU>,Measurement
ES,Nitrogen (Total),Measurement
ES,Phosphorus (Total),Measurement
ES,Phosphorus (Dissolved Reactive),Measurement
ES,pH (Lab),Measurement
ES,Turbidity (Lab),Measurement
ES,Nitrogen (Nitrate),Measurement
ES,Nitrogen (Nitrite),Measurement
ES,Nitrogen (Dissolved Inorganic),Measurement
ES,Nitrogen (Total Kjeldahl),Measurement
ES,E-Coli <MPN>,Measurement
ES,pH (Field),Measurement
ES,Nitrogen (Total Ammoniacal),Measurement
ES,"Clarity (Black Disc, Field)",Measurement
ES,pH,Measurement
ES,Nitrogen (Dissolved Kjeldahl),Measurement
ES,Phosphorus (Total Dissolved),Measurement
ES,Nitrogen (Total Dissolved),Measurement
ES,Phosphorus (Dissolved Organic),Measurement
ES,Turbidity (Field),Measurement
ES,Black Disc (Field),Measurement
