Council,Value,Type
HBRC,Aniwaniwa Stream at Aniwaniwa,Site
HBRC,Aropaoanui River at Aropaoanui,Site
HBRC,Awanui Stream at Flume,Site
HBRC,Esk River at Berry Road,Site
HBRC,Esk River at Waipunga Bridge,Site
HBRC,Hangaroa River at Doneraille Park,Site
HBRC,Herehere Stream at Te Aute Road,Site
HBRC,Karewarewa Stream at Paki Paki,Site
HBRC,Kopuawhara Stream at Railway Bridge,Site
HBRC,Makaretu Stream at State Highway 50,Site
HBRC,Mangakuri River at Kairakau,Site
HBRC,Mangaone River at Rissington,Site
HBRC,Mangaonuku Stream at Waipawa Tikokino Rd,Site
HBRC,Mangaorapa Stream at Mangaorapa Road,Site
HBRC,Mangapoike River at Suspension Bridge,Site
HBRC,Mangatarata Stream at Mangatarata Road,Site
HBRC,Maraetotara River at Te Awanga,Site
HBRC,Maraetotara River at Waimarama Road,Site
HBRC,Mohaka River D/S Taharua,Site
HBRC,Mohaka River U/S Taharua,Site
HBRC,Mokomokonui Stream U/S Waipunga,Site
HBRC,Ngaruroro River at Fernhill,Site
HBRC,Ngaruroro River at Whanawhana,Site
HBRC,Papanui Stream at Middle Road,Site
HBRC,Porangahau River at SH52 Opposite Quarry,Site
HBRC,Porangahau Stream at Oruawhara Road,Site
HBRC,Poukawa Stream at Stock Road,Site
HBRC,Puhokio Stream at Te Apiti Rd,Site
HBRC,Ripia River U/S Mohaka,Site
HBRC,Ruakituri River at Sports Ground,Site
HBRC,Sandy Creek U/S Lake Tutira Outlet,Site
HBRC,Taharua Stream at Wairango Rd,Site
HBRC,Taharua Stream at Wrights Twin Culvert,Site
HBRC,Taipo Stream at Church Road,Site
HBRC,Taurekaitai Stream at Wallingford,Site
HBRC,Tukipo River at State Highway 50,Site
HBRC,Tukituki River at Ashcott Bridge S.H. 50,Site
HBRC,Tukituki River at Black Bridge,Site
HBRC,Tukituki River at Red Bridge,Site
HBRC,Tukituki River at Tamumu Br.,Site
HBRC,Tutaekuri River at Brookfields Bridge,Site
HBRC,Tutaekuri River at Lawrence Hut,Site
HBRC,Tutaekuri River U/S Mangaone,Site
HBRC,Tutaekuri Waimate Stm at Chesterhope,Site
HBRC,Waiarua at S.H.5,Site
HBRC,Waiau River at Otoi,Site
HBRC,Waikari River at Glenbrook Road,Site
HBRC,Waingongoro Stream at Waimarama Road,Site
HBRC,Waipawa River at State Highway 50,Site
HBRC,Wairoa River at Railway Br.,Site
HBRC,Waitio Stream at Ohiti Road,Site
HBRC,Ngaruroro River D/S Hawkes Bay Dairies,Site
HBRC,Clive River U/S Whakatu Rail Bridge,Site
HBRC,Taharua Stream at Henrys Bridge,Site
HBRC,Taharua Stream at Red Hut Mohaka Confl,Site
HBRC,Kahahakuri Stream U/S Tukituki Confl,Site
HBRC,Mohaka River D/S Waipunga River,Site
HBRC,Mohaka River D/S Ripia River,Site
HBRC,Black Disc,Measurement
HBRC,Total Phosphorus [Total Phosphorus],Measurement
HBRC,Dissolved Reactive Phosphorus,Measurement
HBRC,E. Coli,Measurement
HBRC,Ammoniacal Nitrogen,Measurement
HBRC,Nitrite Nitrogen,Measurement
HBRC,Nitrate Nitrogen,Measurement
HBRC,pH (Lab),Measurement
HBRC,pH (Field),Measurement
HBRC,Total Nitrogen,Measurement
HBRC,Turbidity (Lab),Measurement
HBRC,Turbidity (Field),Measurement
HBRC,Nitrate + Nitrite Nitrogen,Measurement
HBRC,pH (X),Measurement
HBRC,Dissolved Inorganic Nitrogen,Measurement
HBRC,Dissolved Reactive Phosphorus (Trace),Measurement
HBRC,Ammoniacal Nitrogen (Trace),Measurement
