Council,Value,Type
HRC,Arawhata Drain at Hokio Beach Road,Site
HRC,Hautapu at Alabasters,Site
HRC,Hautapu at US Rangitikei River Conf,Site
HRC,Hokio at Lake Horowhenua,Site
HRC,Kahuterawa at Johnstons Rata,Site
HRC,Kumeti at Te Rehunga,Site
HRC,Makakahi at Hamua,Site
HRC,Makakahi at u/s Eketahuna STP,Site
HRC,Makotuku at Above Sewage Plant,Site
HRC,Makotuku at Raetihi,Site
HRC,Makotuku at SH49A,Site
HRC,Makuri at Tuscan Hills,Site
HRC,Manakau at S.H.1 Bridge,Site
HRC,Manawatu at Hopelands,Site
HRC,Manawatu at Ngawapurua Bridge,Site
HRC,Manawatu at Opiki Br,Site
HRC,Manawatu at Teachers College,Site
HRC,Manawatu at Upper Gorge,Site
HRC,Manawatu at Weber Road,Site
HRC,Manawatu at u/s PNCC STP,Site
HRC,Manawatu at u/s PPCS Shannon,Site
HRC,Manawatu at us Fonterra Longburn,Site
HRC,Mangaatua at u/s Woodville STP,Site
HRC,Mangaehuehu at u/s Rangataua STP,Site
HRC,Mangahao at Ballance,Site
HRC,Mangapapa at Troup Rd,Site
HRC,Mangarangiora Trib at us Norsewood STP,Site
HRC,Mangatainoka at Brewery - S.H.2 Bridge,Site
HRC,Mangatainoka at Larsons Road,Site
HRC,Mangatainoka at Pahiatua Town Bridge,Site
HRC,Mangatainoka at Putara,Site
HRC,Mangatainoka at Scarborough Konini Rd,Site
HRC,Mangatainoka at d/s Pahiatua STP,Site
HRC,Mangatainoka at u/s Tiraumea Confluence,Site
HRC,Mangatera at Dannevirke,Site
HRC,Mangatera at u/s Manawatu confluence,Site
HRC,Mangatoro at Mangahei Road,Site
HRC,Mangawhero at DOC Headquarters,Site
HRC,Mangawhero at Pakihi Rd Bridge,Site
HRC,Mangawhero at Raupiu Road,Site
HRC,Mangawhero at u/s Ohakune STP,Site
HRC,Mowhanau Stream at Footbridge,Site
HRC,Ohau at Gladstone Reserve,Site
HRC,Ohau at Haines Property,Site
HRC,Ohura at Tokorima,Site
HRC,Ongarue at Taringamotu,Site
HRC,Oroua Trib at U/S Kimbolton STP,Site
HRC,Oroua at Almadale Slackline,Site
HRC,Oroua at Apiti Gorge Bridge,Site
HRC,Oroua at Awahuri Bridge,Site
HRC,Oroua at Mangawhata,Site
HRC,Oroua at U/S AFFCO Feilding,Site
HRC,Oruakeretaki at S.H.2 Napier,Site
HRC,Owahanga at Branscombe Bridge,Site
HRC,Patiki Stream at Kawiu Road,Site
HRC,Piakatutu at u/s Sanson STP,Site
HRC,Pohangina at Mais Reach,Site
HRC,Pohangina at Piripiri,Site
HRC,Pongaroa at u/s Pongaroa STP,Site
HRC,Porewa at u/s Hunterville STP,Site
HRC,Porewa at Onepuhi,Site
HRC,Rangitikei at Kakariki,Site
HRC,Rangitikei at Mangaweka,Site
HRC,Rangitikei at McKelvies,Site
HRC,Rangitikei at Onepuhi,Site
HRC,Rangitikei at Pukeokahu,Site
HRC,Rangitikei at u/s Bulls STP,Site
HRC,Raparapawai at Jackson Rd,Site
HRC,Tamaki at Stephensons,Site
HRC,Tamaki at Tamaki Reserve,Site
HRC,Tiraumea at Ngaturi,Site
HRC,Tiraumea u/s Manawatu Confluence,Site
HRC,Tokiahuru at Junction,Site
HRC,Tokomaru River at Horseshoe bend,Site
HRC,Turakina at ONeills Bridge,Site
HRC,Tutaenui Stream at u/s Marton STP,Site
HRC,Unnamed Trib of Waipu at us Ratana STP,Site
HRC,Waikawa at Huritini,Site
HRC,Waikawa at North Manakau Road,Site
HRC,Waitangi at u/s Waiouru STP,Site
HRC,Whangaehu at Kauangaroa,Site
HRC,Whangaehu at u/s Winstone Pulp,Site
HRC,Whanganui at Cherry Grove,Site
HRC,Whanganui at Pipiriki,Site
HRC,Whanganui at Te Maire,Site
HRC,Whanganui at Te Rewa,Site
HRC,Whanganui at Wades Landing,Site
HRC,Dissolved Reactive Phosphorus (HRC),Measurement
HRC,Ammoniacal-N (HRC),Measurement
HRC,Total Nitrogen (HRC),Measurement
HRC,Total Oxidised Nitrogen (HRC),Measurement
HRC,Nitrate (HRC),Measurement
HRC,Nitrite (HRC),Measurement
HRC,Total Phosphorus (HRC),Measurement
HRC,Turbidity EPA (HRC),Measurement
HRC,Black Disc (HRC),Measurement
HRC,E. coli by MPN (HRC),Measurement
HRC,Field pH (HRC),Measurement
HRC,WQ Sample,Measurement
