Council,Value,Type
MDC,Waihopai River at Craiglochart,Site
MDC,Branch River at Weir Intake,Site
MDC,Awatere River at Awapiri,Site
MDC,Graham River at Road Bridge,Site
MDC,Are Are Creek at Kaituna Tuamarina Track,Site
MDC,Kaituna River at Higgins Bridge,Site
MDC,Doctors Creek Upstream Taylor,Site
MDC,Mill Creek at Ormonds,Site
MDC,Cullen Creek at Road Bridge,Site
MDC,Omaka River at Hawkesbury Road Bridge,Site
MDC,Waitohi River at State Highway One,Site
MDC,Kenepuru Stream at Kenepuru Head,Site
MDC,Murphys Creek at Nelson Street,Site
MDC,Rai River at Rai Falls,Site
MDC,Onamalutu River at Northbank Road,Site
MDC,Opawa River at Hammerichs Road,Site
MDC,Opouri River at Tunakino Valley Road,Site
MDC,Tuamarina River at State Highway One,Site
MDC,Flaxbourne River at Quarry,Site
MDC,Waima (Ure) River at SH1 Bridge,Site
MDC,Awatere River at River Mouth,Site
MDC,Duncan Stream at Outlet,Site
MDC,Pelorus River at Kahikatea Flat,Site
MDC,Pelorus River at Fishermans Flat,Site
MDC,Wakamarina River at SH6,Site
MDC,Waihopai River at SH63 Bridge,Site
MDC,Opawa River at Swamp Road,Site
MDC,Taylor River at Rail Bridge,Site
MDC,Wairau Diversion at Neals Road Bridge,Site
MDC,Ronga River at Upstream Rai River,Site
MDC,Spring Creek at Wairau River Floodgates,Site
MDC,Black Birch Stream at Awatere Intake,Site
MDC,E. coli,Measurement
MDC,pH (Field),Measurement
MDC,pH (Lab),Measurement
MDC,Turbidity (Lab),Measurement
MDC,Nitrite/Nitrate - Nitrogen,Measurement
MDC,Nitrate - Nitrogen,Measurement
MDC,Ammonia - Nitrogen,Measurement
MDC,Dissolved Reactive Phosphorus,Measurement
MDC,Nitrite - Nitrogen,Measurement
MDC,Total Inorganic Nitrogen - Lab,Measurement
MDC,Dissolved Reactive Phosphorus - Trace,Measurement
MDC,Nitrite - Nitrogen - Trace,Measurement
MDC,Nitrite/Nitrate - Nitrogen - Trace,Measurement
MDC,Ammonia - Nitrogen - Trace,Measurement
MDC,Nitrate - Nitrogen - Trace,Measurement
MDC,Nitrate - Nitrogen (Field),Measurement
MDC,Ammonia - Nitrogen (Field),Measurement
MDC,Total Phosphorus,Measurement
MDC,Total Nitrogen,Measurement
MDC,Total Dissolved Nitrogen,Measurement
MDC,Ammonia - Nitrogen (24 hr),Measurement
MDC,Dissolved Reactive Phosphorus (24 hr),Measurement
MDC,Dissolved Inorganic Nitrogen,Measurement
MDC,WQ Sample,Measurement
