Council,Value,Type
NCC,Maitai South Branch at Intake,Site
NCC,Lud at 4.7km,Site
NCC,Todds at SH6,Site
NCC,Whangamoa at Kokorua Bridge,Site
NCC,Collins at SH6,Site
NCC,Brook at Motor Camp,Site
NCC,Hillwood at Glen Rd,Site
NCC,Brook at Manuka St,Site
NCC,Brook at Burn Pl,Site
NCC,Wakapuaka at Maori Pa Rd,Site
NCC,Wakapuaka at Duckpond Rd,Site
NCC,Wakapuaka at Hira,Site
NCC,Graham at SH6,Site
NCC,Maitai at Riverside,Site
NCC,Dencker at Kokorua Rd,Site
NCC,Groom at Maitai Confluence,Site
NCC,Poorman at Barnicoat Walkway,Site
NCC,Poorman at Seaview Rd,Site
NCC,Teal at 1.9km,Site
NCC,Maitai at Groom Rd,Site
NCC,Sharland at Maitai Confluence,Site
NCC,Orphanage at Saxton Rd East,Site
NCC,Lud at SH6,Site
NCC,Whangamoa at Hippolite Rd,Site
NCC,Jenkins at Pascoe St,Site
NCC,York at Waimea Rd,Site
NCC,Turbidity,Measurement
NCC,pH,Measurement
NCC,Total Nitrogen,Measurement
NCC,Total Phosphorus,Measurement
NCC,Nitrate Nitrogen,Measurement
NCC,Ammoniacal Nitrogen,Measurement
NCC,Dissolved Reactive Phosphorus,Measurement
NCC,Black Disc Clarity,Measurement
NCC,E. coli CFU,Measurement
NCC,Nitrite Nitrogen,Measurement
