Council,Value,Type
ORC,Kakanui at Clifton Falls Bridge,Site
ORC,Lindsays Creek at North Road Bridge,Site
ORC,Taieri at Sutton,Site
ORC,Taieri at Waipiata,Site
ORC,Taieri at Stonehenge,Site
ORC,Kye Burn at SH85 Bridge,Site
ORC,Tokomairiro at West Branch Bridge,Site
ORC,Lindis at Lindis Peak,Site
ORC,Manuherikia at Ophir,Site
ORC,Fraser at Marshall Road,Site
ORC,Mill Creek at Fish Trap,Site
ORC,Hawea at Camphill Bridge,Site
ORC,Matukituki at West Wanaka,Site
ORC,Dart at The Hillocks,Site
ORC,Waiareka Creek at Taipo Road,Site
ORC,Luggate Creek at SH6 Bridge,Site
ORC,Waikouaiti at Confluence d/s,Site
ORC,Waiwera at Maws Farm,Site
ORC,Pomahaka at Burkes Ford,Site
ORC,Waitahuna at Tweeds Bridge,Site
ORC,Pomahaka at Glenken,Site
ORC,Silverstream at Taieri Depot,Site
ORC,Manuherikia at Galloway,Site
ORC,Kauru at Ewings,Site
ORC,Catlins at Houipapa,Site
ORC,Main Drain at Waipori Pump,Site
ORC,Shag at Craig Road,Site
ORC,Waipahi at Waipahi,Site
ORC,Dunstan Creek at Beattie Road,Site
ORC,Shag at Goodwood Pump,Site
ORC,Kakanui at McCones,Site
ORC,Waianakarua at Browns,Site
ORC,Heriot Burn at Park Hill Road,Site
ORC,Lindis at Ardgour Road,Site
ORC,Crookston Burn at Kelso Road,Site
ORC,Wairuna at Millar Road,Site
ORC,Taieri at Allanton Bridge,Site
ORC,Taieri at Linnburn Runs Road,Site
ORC,Trotters Creek at Mathesons,Site
ORC,Waipahi at Cairns Peak,Site
ORC,Waipori at Waipori Falls Reserve,Site
ORC,Leith at Dundas Street Bridge,Site
ORC,Lake Hayes at Bendemeer Bay,Site
ORC,Kaikorai Stream at Brighton Road,Site
ORC,Cardrona at Mt Barker,Site
ORC,Turbidity (X),Measurement
ORC,Total Nitrogen,Measurement
ORC,Water Temperature (Field),Measurement
ORC,pH (Lab),Measurement
ORC,E-Coli MPN,Measurement
ORC,Nitrite/Nitrate Nitrogen,Measurement
ORC,Ammoniacal Nitrogen,Measurement
ORC,Dissolved Reactive Phosphorus,Measurement
ORC,Total Phosphorus,Measurement
ORC,WQ Sample,Measurement
