Council,Value,Type
TDC,HY Aorere at Devils Boots,Site
TDC,HY Wangapeka at Walter Peak,Site
TDC,HY Motupiko at Christies,Site
TDC,HY Wairoa at Irvines,Site
TDC,HY Takaka at Harwoods,Site
TDC,HY Takaka at Kotinga,Site
TDC,RW Aorere @ Le Comte,Site
TDC,RW Black Vly @ 30m us Lake,Site
TDC,RW Graham @ Kikiwa,Site
TDC,RW Hunters @ Kikiwa,Site
TDC,RW Kaituna @ 500m us Track start,Site
TDC,RW Kaituna @ Sollys Rd,Site
TDC,RW Kikiwa @ Kikiwa,Site
TDC,RW Lee @ Meads Br,Site
TDC,RW Little Sydney @ Factory Rd,Site
TDC,RW Mangles @ Gorge,Site
TDC,RW Mangles @ 1.5 km u-s Tutaki,Site
TDC,HY Riwaka at Hickmotts,Site
TDC,HY Motueka at Woodmans Bend,Site
TDC,RW Matakitaki @ SH6 Murchison,Site
TDC,RW Motueka @ u-s Wangapeka,Site
TDC,RW Motupipi @ Factory Farm Br,Site
TDC,RW Motupipi @ Reillys Br,Site
TDC,RW Motupipi @ Abel Tasman Dr,Site
TDC,RW Murchison Ck @ 20m u-s SH6,Site
TDC,RW Onahau @ Onahau Rd,Site
TDC,RW Onekaka @ Shambala Br,Site
TDC,RW Onekaka @ u-s Ironstone,Site
TDC,RW Reservoir Ck @ Marlborough Cr,Site
TDC,RW Reservoir Ck @ 20m d-s Salisbury Rd,Site
TDC,RW Riwaka @ Northbranch Source,Site
TDC,RW Sherry @ Blue Rock,Site
TDC,RW Sherry @ u-s Cave Ck,Site
TDC,RW Wairoa @ Pig Vly,Site
TDC,RW Waiwhero @ Cemetery,Site
TDC,RW Watercress @ u-s Dairy Factory,Site
TDC,RW Wangapeka @ 5km u-s Dart,Site
TDC,RW Powell @ Glenview Rd,Site
TDC,RW Powell @ 40m u-s Motupipi Rv,Site
TDC,RW Tasman @ u-s Jesters Hse,Site
TDC,RW Seaton Vly @ Stafford Dr,Site
TDC,RW Redwood Vly @ Greenacres Rd,Site
TDC,RW Winter @ 50m u-s Abel Tasman Dr,Site
TDC,RW Waimea @ SH60 Appleby,Site
TDC,RW Roding @ Twin Bridges,Site
TDC,RW Graham @ farm forest bdy,Site
TDC,pH,Measurement
TDC,Turbidity,Measurement
TDC,Total Nitrogen,Measurement
TDC,Total Phosphorus,Measurement
TDC,Total Ammonia,Measurement
TDC,Dissolved Reactive Phosphorus,Measurement
TDC,pH (Field),Measurement
TDC,E.coli,Measurement
TDC,Water Clarity,Measurement
