Council,Value,Type
WCRC,Seven Mile Ck @ u/s Tillers Mine Ck,Site
WCRC,Orangipuku Rv @ Mouth,Site
WCRC,Sawyers Ck @ Bush Fringe,Site
WCRC,Hohonu Rv @ Mitchells-Kumara Rd Br,Site
WCRC,Hohonu Rv @ Mouth,Site
WCRC,Deep Ck @ Arnold Vly Rd Br,Site
WCRC,Arnold Rv @ Kotuku Fishing Access,Site
WCRC,Seven Mile Ck @ Dunollie 400m u/s Ox Pd,Site
WCRC,Page Stm @ Chasm Ck Walkway,Site
WCRC,Seven Mile Ck @ 300m d/s Raleigh Ck,Site
WCRC,Bradshaws Ck @ Bradshaw Rd,Site
WCRC,Mawheraiti Rv @ SH7 Maimai,Site
WCRC,Grey Rv @ Taylorville Swimming Hole,Site
WCRC,Ellis Ck @ 50m d/s Ferry Rd Br,Site
WCRC,Okutua Ck @ New Rd Br-Okarito Forest,Site
WCRC,Poerua Rv @ Station Rd end,Site
WCRC,Ford Ck @ Blackball-Taylorville Rd,Site
WCRC,Murray Ck @ Ford Rd S,Site
WCRC,Baker Ck @ Baker Ck Rd,Site
WCRC,Baker Ck @ Oparara Rd,Site
WCRC,Crooked Rv @ Rotomanu-Bell Hill Rd,Site
WCRC,Duck Ck @ Kokatahi-Kowhitirangi Rd Br,Site
WCRC,Harris Ck @ Mulvaney Rd,Site
WCRC,Nelson Ck @ Swimming Hole Reserve,Site
WCRC,Unnamed Ck @ Adamson Rd Whataroa,Site
WCRC,Vickers Ck @ Whataroa N Base,Site
WCRC,Orowaiti Rv @ Excelsior Rd,Site
WCRC,Orowaiti Rv @ Keoghans Rd,Site
WCRC,Sawyers Ck @ Dixon Pk,Site
WCRC,Seven Mile Ck @ SH6 Rapahoe,Site
WCRC,Berry Ck @ N Brch Wanganui Flat Rd,Site
WCRC,Arnold Rv @ Blairs Rd No. 2 Br,Site
WCRC,Blackwater Ck @ Farm 846,Site
WCRC,Burkes Ck @ SH69,Site
WCRC,Molloy Ck @ Rail Line,Site
WCRC,La Fontaine Stm @ Airstrip Fishing Access,Site
WCRC,La Fontaine Stm @ Herepo Fishing Access,Site
WCRC,Grey Rv @ Waipuna,Site
WCRC,Crooked Rv @ Te Kinga,Site
WCRC,pH,Measurement
WCRC,Turbidity,Measurement
WCRC,E.coli (Mem Filtration),Measurement
WCRC,Ammonia Total,Measurement
WCRC,Nitrogen (Total),Measurement
WCRC,Phosphorous Total,Measurement
WCRC,Dissolved Reactive Phosphorus,Measurement
WCRC,Nitrate-N,Measurement
WCRC,Nitrogen Kjeldahl,Measurement
WCRC,Nitrite,Measurement
WCRC,Water Clarity (Black Disc),Measurement
WCRC,Nitrate + Nitrite,Measurement
WCRC,Water Clarity (Secchi Disc),Measurement
WCRC,Dissolved Inorganic Nitrogen,Measurement
WCRC,E.coli (MPN),Measurement
WCRC,Dissolved Nitrogen (Total),Measurement
WCRC,Dissolved Organic Nitrogen,Measurement
WCRC,Dissolved Organic Phosphorus,Measurement
WCRC,Dissolved Phosphorus (Total),Measurement
WCRC,Dissolved Phosphorous (Total),Measurement
