Council,Value,Type
WRC,44407,Site
WRC,44529,Site
WRC,44580,Site
WRC,44617,Site
WRC,44607,Site
WRC,44668,Site
WRC,44674,Site
WRC,44677,Site
WRC,44749,Site
WRC,44791,Site
WRC,44845,Site
WRC,41011,Site
WRC,41071,Site
WRC,41211,Site
WRC,41249,Site
WRC,41303,Site
WRC,41355,Site
WRC,41630,Site
WRC,41634,Site
WRC,41667,Site
WRC,41766,Site
WRC,41835,Site
WRC,41893,Site
WRC,42292,Site
WRC,42340,Site
WRC,42385,Site
WRC,595556,Site
WRC,42477,Site
WRC,42678,Site
WRC,24166,Site
WRC,24172,Site
WRC,36706,Site
WRC,36745,Site
WRC,36768,Site
WRC,36800,Site
WRC,36867,Site
WRC,36890,Site
WRC,36998,Site
WRC,37003,Site
WRC,14393,Site
WRC,14395,Site
WRC,37523,Site
WRC,37631,Site
WRC,37700,Site
WRC,37720,Site
WRC,14435,Site
WRC,37768,Site
WRC,37825,Site
WRC,14419,Site
WRC,37841,Site
WRC,37860,Site
WRC,37891,Site
WRC,37939,Site
WRC,37986,Site
WRC,37993,Site
WRC,38025,Site
WRC,38101,Site
WRC,38165,Site
WRC,38220,Site
WRC,38263,Site
WRC,38350,Site
WRC,38367,Site
WRC,38386,Site
WRC,38424,Site
WRC,38431,Site
WRC,38493,Site
WRC,38533,Site
WRC,38551,Site
WRC,40718,Site
WRC,40716,Site
WRC,40720,Site
WRC,40738,Site
WRC,40966,Site
WRC,40998,Site
WRC,41010,Site
WRC,42685,Site
WRC,42773,Site
WRC,42974,Site
WRC,42993,Site
WRC,43010,Site
WRC,43171,Site
WRC,43145,Site
WRC,43334,Site
WRC,43336,Site
WRC,43349,Site
WRC,43411,Site
WRC,43361,Site
WRC,43278,Site
WRC,43552,Site
WRC,43313,Site
WRC,43224,Site
WRC,43401,Site
WRC,43768,Site
WRC,43794,Site
WRC,43809,Site
WRC,43879,Site
WRC,43855,Site
WRC,43913,Site
WRC,43915,Site
WRC,43910,Site
WRC,43992,Site
WRC,44082,Site
WRC,44092,Site
WRC,44178,Site
WRC,44241,Site
WRC,44285,Site
WRC,44331,Site
WRC,44334,Site
WRC,44391,Site
WRC,44379,Site
WRC,Black Disk,Measurement
WRC,TotalNitrogen,Measurement
WRC,DRP,Measurement
WRC,pH,Measurement
WRC,EColi,Measurement
WRC,NH4,Measurement
WRC,Turb_Misc,Measurement
WRC,NNN,Measurement
WRC,Total Phosphorus,Measurement
WRC,10|Good data,Qualifier
WRC,8202|Above quanitification level,Qualifier
WRC,16394|Below quanitification level,Qualifier

